int address,bool busy,int byte_sel,int data_from_bus,int data_to_bus,bool error_from_bus,int next_state,bool ready_from_bus,bool request,bool reset,int state,bool wb_ack,int wb_adr,bool wb_cyc,int wb_dat_i,int wb_dat_o,bool wb_err,bool wb_rst,int wb_sel,bool wb_stall,bool wb_stb,bool wb_we,bool write
96,1,1,0,138,0,3,0,1,0,3,0,96,1,0,138,0,0,1,1,0,1,1
96,1,1,0,138,0,3,0,1,0,3,0,96,1,0,138,0,0,1,1,0,1,1
96,1,1,0,138,0,3,0,1,0,3,0,96,1,0,138,0,0,1,1,0,1,1
96,1,1,0,138,0,3,0,1,0,3,0,96,1,0,138,0,0,1,1,0,1,1
96,1,1,0,138,0,3,0,1,0,3,0,96,1,0,138,0,0,1,1,0,1,1
96,1,1,0,138,0,3,0,1,0,3,0,96,1,0,138,0,0,1,1,0,1,1
96,1,1,0,138,0,3,0,1,0,3,0,96,1,0,138,0,0,1,1,0,1,1
96,1,0,0,138,0,1,1,0,0,3,1,96,1,0,138,0,0,1,0,0,1,0
96,0,0,0,138,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,126,0,2,0,1,0,1,0,96,0,0,138,0,0,0,0,0,0,1
96,1,1,0,126,0,2,0,1,0,2,0,96,1,0,126,0,0,1,0,1,1,1
96,1,1,0,126,0,3,0,1,0,2,0,96,1,0,126,0,0,1,1,1,1,1
96,1,1,0,126,0,3,0,1,0,3,0,96,1,0,126,0,0,1,1,0,1,1
96,1,1,0,126,0,3,0,1,0,3,0,96,1,0,126,0,0,1,1,0,1,1
96,1,1,0,126,0,3,0,1,0,3,0,96,1,0,126,0,0,1,1,0,1,1
96,1,1,0,126,0,3,0,1,0,3,0,96,1,0,126,0,0,1,1,0,1,1
96,1,1,0,126,0,3,0,1,0,3,0,96,1,0,126,0,0,1,1,0,1,1
96,1,1,0,126,0,3,0,1,0,3,0,96,1,0,126,0,0,1,1,0,1,1
96,1,1,0,126,0,3,0,1,0,3,0,96,1,0,126,0,0,1,1,0,1,1
96,1,0,0,126,0,1,1,0,0,3,1,96,1,0,126,0,0,1,0,0,1,0
96,0,0,0,126,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,63,0,2,0,1,0,1,0,96,0,0,126,0,0,0,0,0,0,1
96,1,1,0,63,0,2,0,1,0,2,0,96,1,0,63,0,0,1,0,1,1,1
96,1,1,0,63,0,3,0,1,0,2,0,96,1,0,63,0,0,1,1,1,1,1
96,1,1,0,63,0,3,0,1,0,3,0,96,1,0,63,0,0,1,1,0,1,1
96,1,1,0,63,0,3,0,1,0,3,0,96,1,0,63,0,0,1,1,0,1,1
96,1,1,0,63,0,3,0,1,0,3,0,96,1,0,63,0,0,1,1,0,1,1
96,1,1,0,63,0,3,0,1,0,3,0,96,1,0,63,0,0,1,1,0,1,1
96,1,1,0,63,0,3,0,1,0,3,0,96,1,0,63,0,0,1,1,0,1,1
96,1,1,0,63,0,3,0,1,0,3,0,96,1,0,63,0,0,1,1,0,1,1
96,1,1,0,63,0,3,0,1,0,3,0,96,1,0,63,0,0,1,1,0,1,1
96,1,0,0,63,0,1,1,0,0,3,1,96,1,0,63,0,0,1,0,0,1,0
96,0,0,0,63,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,7,0,2,0,1,0,1,0,96,0,0,63,0,0,0,0,0,0,1
96,1,1,0,7,0,2,0,1,0,2,0,96,1,0,7,0,0,1,0,1,1,1
96,1,1,0,7,0,3,0,1,0,2,0,96,1,0,7,0,0,1,1,1,1,1
96,1,1,0,7,0,3,0,1,0,3,0,96,1,0,7,0,0,1,1,0,1,1
96,1,1,0,7,0,3,0,1,0,3,0,96,1,0,7,0,0,1,1,0,1,1
96,1,1,0,7,0,3,0,1,0,3,0,96,1,0,7,0,0,1,1,0,1,1
96,1,1,0,7,0,3,0,1,0,3,0,96,1,0,7,0,0,1,1,0,1,1
96,1,1,0,7,0,3,0,1,0,3,0,96,1,0,7,0,0,1,1,0,1,1
96,1,1,0,7,0,3,0,1,0,3,0,96,1,0,7,0,0,1,1,0,1,1
96,1,1,0,7,0,3,0,1,0,3,0,96,1,0,7,0,0,1,1,0,1,1
96,1,0,0,7,0,1,1,0,0,3,1,96,1,0,7,0,0,1,0,0,1,0
96,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,35,0,2,0,1,0,1,0,96,0,0,7,0,0,0,0,0,0,1
96,1,1,0,35,0,2,0,1,0,2,0,96,1,0,35,0,0,1,0,1,1,1
96,1,1,0,35,0,3,0,1,0,2,0,96,1,0,35,0,0,1,1,1,1,1
96,1,1,0,35,0,3,0,1,0,3,0,96,1,0,35,0,0,1,1,0,1,1
96,1,1,0,35,0,3,0,1,0,3,0,96,1,0,35,0,0,1,1,0,1,1
96,1,1,0,35,0,3,0,1,0,3,0,96,1,0,35,0,0,1,1,0,1,1
96,1,1,0,35,0,3,0,1,0,3,0,96,1,0,35,0,0,1,1,0,1,1
96,1,1,0,35,0,3,0,1,0,3,0,96,1,0,35,0,0,1,1,0,1,1
96,1,1,0,35,0,3,0,1,0,3,0,96,1,0,35,0,0,1,1,0,1,1
96,1,1,0,35,0,3,0,1,0,3,0,96,1,0,35,0,0,1,1,0,1,1
96,1,0,0,35,0,1,1,0,0,3,1,96,1,0,35,0,0,1,0,0,1,0
96,0,0,0,35,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,131,0,2,0,1,0,1,0,96,0,0,35,0,0,0,0,0,0,1
96,1,1,0,131,0,2,0,1,0,2,0,96,1,0,131,0,0,1,0,1,1,1
96,1,1,0,131,0,3,0,1,0,2,0,96,1,0,131,0,0,1,1,1,1,1
96,1,1,0,131,0,3,0,1,0,3,0,96,1,0,131,0,0,1,1,0,1,1
96,1,1,0,131,0,3,0,1,0,3,0,96,1,0,131,0,0,1,1,0,1,1
96,1,1,0,131,0,3,0,1,0,3,0,96,1,0,131,0,0,1,1,0,1,1
96,1,1,0,131,0,3,0,1,0,3,0,96,1,0,131,0,0,1,1,0,1,1
96,1,1,0,131,0,3,0,1,0,3,0,96,1,0,131,0,0,1,1,0,1,1
96,1,1,0,131,0,3,0,1,0,3,0,96,1,0,131,0,0,1,1,0,1,1
96,1,1,0,131,0,3,0,1,0,3,0,96,1,0,131,0,0,1,1,0,1,1
96,1,0,0,131,0,1,1,0,0,3,1,96,1,0,131,0,0,1,0,0,1,0
96,0,0,0,131,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,170,0,2,0,1,0,1,0,96,0,0,131,0,0,0,0,0,0,1
96,1,1,0,170,0,2,0,1,0,2,0,96,1,0,170,0,0,1,0,1,1,1
96,1,1,0,170,0,3,0,1,0,2,0,96,1,0,170,0,0,1,1,1,1,1
96,1,1,0,170,0,3,0,1,0,3,0,96,1,0,170,0,0,1,1,0,1,1
96,1,1,0,170,0,3,0,1,0,3,0,96,1,0,170,0,0,1,1,0,1,1
96,1,1,0,170,0,3,0,1,0,3,0,96,1,0,170,0,0,1,1,0,1,1
96,1,1,0,170,0,3,0,1,0,3,0,96,1,0,170,0,0,1,1,0,1,1
96,1,1,0,170,0,3,0,1,0,3,0,96,1,0,170,0,0,1,1,0,1,1
96,1,1,0,170,0,3,0,1,0,3,0,96,1,0,170,0,0,1,1,0,1,1
96,1,1,0,170,0,3,0,1,0,3,0,96,1,0,170,0,0,1,1,0,1,1
96,1,0,0,170,0,1,1,0,0,3,1,96,1,0,170,0,0,1,0,0,1,0
96,0,0,0,170,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,67,0,2,0,1,0,1,0,96,0,0,170,0,0,0,0,0,0,1
96,1,1,0,67,0,2,0,1,0,2,0,96,1,0,67,0,0,1,0,1,1,1
96,1,1,0,67,0,3,0,1,0,2,0,96,1,0,67,0,0,1,1,1,1,1
96,1,1,0,67,0,3,0,1,0,3,0,96,1,0,67,0,0,1,1,0,1,1
96,1,1,0,67,0,3,0,1,0,3,0,96,1,0,67,0,0,1,1,0,1,1
96,1,1,0,67,0,3,0,1,0,3,0,96,1,0,67,0,0,1,1,0,1,1
